Date,Close/Last,Volume,Open,High,Low
08/10/2018,$81.9741,6052478,$82.8728,$82.8728,$81.5889
08/09/2018,$83.0654,4016020,$83.5147,$83.6431,$82.8728
08/08/2018,$83.7715,5047569,$84.6702,$84.6702,$83.2579
08/07/2018,$84.4776,7074115,$84.2208,$85.0553,$83.5789
08/06/2018,$84.0924,4058091,$84.2208,$84.606,$83.8357
08/03/2018,$84.3492,4403714,$84.4134,$85.0553,$84.0931
08/02/2018,$84.5418,4565556,$84.5418,$84.7986,$83.8357
08/01/2018,$84.9911,5560696,$86.9811,$86.9811,$84.9911
07/31/2018,$87.4947,8928098,$84.6702,$87.623,$84.4776
07/30/2018,$84.4776,4940084,$83.7073,$84.7986,$83.5147
07/27/2018,$83.8357,4916315,$84.2208,$84.606,$83.3221
07/26/2018,$84.4134,6803306,$84.0924,$85.1844,$83.8357
07/25/2018,$84.1566,6663629,$84.285,$84.4134,$83.1937
07/24/2018,$84.2208,6948531,$82.937,$84.285,$82.4876
07/23/2018,$83.3863,11176280,$83.5789,$84.2208,$82.8086
07/20/2018,$84.2208,21398100,$88.0724,$88.4576,$83.3221
07/19/2018,$88.1366,9353069,$88.0724,$89.0995,$87.3984
07/18/2018,$88.265,5126149,$88.2008,$88.6501,$87.944
07/17/2018,$87.8798,7385811,$88.9069,$89.1637,$87.623
07/16/2018,$89.2279,5351721,$89.1637,$89.5488,$88.5859
07/13/2018,$89.1637,6060341,$89.6772,$90.3191,$89.0995
07/12/2018,$89.8056,4974026,$90.1908,$90.7685,$89.4204
07/11/2018,$89.8056,5903205,$90.2357,$91.7314,$89.8056
07/10/2018,$90.9611,6811278,$89.8698,$91.0253,$89.7414
07/09/2018,$89.5488,6881154,$89.4846,$90.7685,$89.2921
07/06/2018,$88.9069,6324381,$85.8257,$89.2279,$85.5047
07/05/2018,$86.2108,6689843,$85.8898,$86.275,$83.7073
07/03/2018,$85.8257,4026551,$85.6973,$86.596,$85.3763
07/02/2018,$85.8257,7838188,$86.5318,$86.9811,$84.6702
06/29/2018,$87.3663,8994645,$88.7785,$89.2279,$87.1095
06/28/2018,$88.7785,8042308,$89.4846,$89.8698,$87.8156
06/27/2018,$89.613,16917438,$88.9711,$92.6622,$88.5859
06/26/2018,$88.2008,26711563,$86.4034,$89.4846,$85.954
06/25/2018,$81.8457,9597329,$83.6431,$83.7715,$81.7815
06/22/2018,$83.7715,9129444,$81.9099,$83.9641,$81.9099
06/21/2018,$81.9099,8829713,$82.2309,$82.2951,$80.947
06/20/2018,$82.6802,12047799,$81.9099,$84.1566,$81.8457
06/19/2018,$83.1296,9592963,$83.8357,$83.8999,$82.8086
06/18/2018,$84.7344,8528921,$84.7986,$84.927,$84.0924
06/15/2018,$85.3763,12018845,$86.7243,$86.7885,$85.3763
06/14/2018,$87.5589,7579944,$89.0353,$89.2921,$87.0453
06/13/2018,$89.1637,4398173,$89.9982,$90.2229,$88.7792
06/12/2018,$89.7414,5170290,$90.0624,$90.7685,$89.2921
06/11/2018,$89.7414,5422410,$89.8056,$90.0624,$88.9069
06/08/2018,$89.4204,6278849,$88.4576,$90.3191,$88.0082
06/07/2018,$88.4576,8864770,$87.4947,$88.5859,$87.3663
06/06/2018,$87.5589,7728353,$88.7143,$89.1361,$87.4947
06/05/2018,$88.5859,8801065,$88.0082,$89.4204,$86.7885
06/04/2018,$88.0082,10277631,$90.7043,$91.2178,$87.8156
06/01/2018,$90.5117,7108235,$90.5117,$90.8327,$89.5488
05/31/2018,$90.3833,6915204,$90.5117,$90.7043,$89.5488
05/30/2018,$90.9611,6520848,$90.7685,$91.4104,$89.9982
05/29/2018,$91.0253,9487406,$92.951,$93.2078,$89.9661
05/25/2018,$93.9139,6197074,$93.7855,$94.1386,$92.5017
05/24/2018,$93.7214,13149788,$92.0523,$94.4917,$91.4104
